Дата;Артикул;Наименование;Тип;Количество;Комментарий
2026-09-04;PACK-10;Верёвка упакованная 10мм (бухты);Приход;392;Производство (плетение)
2026-09-04;HORSE-10;Шнур конный спорт 10мм;Приход;134;Производство (плетение)
2026-09-04;HORSE-8;Шнур конный спорт 8мм;Продажа;-170;Отгрузка клиенту
2026-09-04;HORSE-8;Шнур конный спорт 8мм;Приход;140;Производство (плетение)
2026-09-04;BANNER-4;Шнур баннерный 4мм;Продажа;-259;Отгрузка клиенту
2026-09-04;BANNER-4;Шнур баннерный 4мм;Приход;408;Производство (плетение)
2026-09-04;BANNER-3;Шнур баннерный 3мм;Продажа;-570;Отгрузка клиенту
2026-09-04;BANNER-3;Шнур баннерный 3мм;Приход;593;Производство (плетение)
2026-09-04;BAG-5;Шнур для пакетов 5мм;Приход;596;Производство (плетение)
2026-09-04;BAG-4;Шнур для пакетов 4мм;Продажа;-654;Отгрузка клиенту
2026-09-04;BAG-4;Шнур для пакетов 4мм;Приход;721;Производство (плетение)
2026-09-04;CARGO-24;Канат грузовой 24мм;Продажа;-63;Отгрузка клиенту
2026-09-04;CARGO-24;Канат грузовой 24мм;Приход;55;Производство (плетение)
2026-09-04;CARGO-20;Канат грузовой 20мм;Приход;96;Производство (плетение)
2026-09-04;CARGO-16;Канат грузовой 16мм;Продажа;-166;Отгрузка клиенту
2026-09-04;CARGO-16;Канат грузовой 16мм;Приход;174;Производство (плетение)
2026-09-04;FENCE-10;Канат ограждающий 10мм;Продажа;-143;Отгрузка клиенту
2026-09-04;FENCE-10;Канат ограждающий 10мм;Приход;210;Производство (плетение)
2026-09-04;FENCE-8;Канат ограждающий 8мм;Продажа;-133;Отгрузка клиенту
2026-09-04;FENCE-8;Канат ограждающий 8мм;Приход;296;Производство (плетение)
2026-09-04;FENCE-6;Канат ограждающий 6мм;Приход;306;Производство (плетение)
2026-09-04;CABLE-8;Трос-лидер 8мм;Продажа;-95;Отгрузка клиенту
2026-09-04;CABLE-8;Трос-лидер 8мм;Приход;125;Производство (плетение)
2026-09-04;CABLE-6;Канат для протяжки кабеля 6мм;Приход;186;Производство (плетение)
2026-09-04;CABLE-4;Канат для протяжки кабеля 4мм;Приход;235;Производство (плетение)
2026-09-04;LEER-8;Леер для лодок 8мм;Продажа;-115;Отгрузка клиенту
2026-09-04;LEER-8;Леер для лодок 8мм;Приход;102;Производство (плетение)
2026-09-04;LEER-6;Леер для лодок 6мм;Приход;154;Производство (плетение)
2026-09-04;LEER-5;Леер для лодок 5мм;Продажа;-207;Отгрузка клиенту
2026-09-04;LEER-5;Леер для лодок 5мм;Приход;216;Производство (плетение)
2026-09-04;YAHT-12;Канат яхтенный 12мм;Приход;96;Производство (плетение)
2026-09-04;YAHT-10;Канат яхтенный (фалы) 10мм;Продажа;-123;Отгрузка клиенту
2026-09-04;YAHT-10;Канат яхтенный (фалы) 10мм;Приход;140;Производство (плетение)
2026-09-04;YAHT-8;Канат яхтенный 8мм;Приход;219;Производство (плетение)
2026-09-04;YAHT-6;Канат яхтенный (шкоты) 6мм;Продажа;-149;Отгрузка клиенту
2026-09-04;YAHT-6;Канат яхтенный (шкоты) 6мм;Приход;249;Производство (плетение)
2026-09-04;FISH-3;Шнур рыболовный 3мм;Продажа;-348;Отгрузка клиенту
2026-09-04;FISH-3;Шнур рыболовный 3мм;Приход;325;Производство (плетение)
2026-09-04;FISH-25;Шнур рыболовный 2.5мм;Продажа;-277;Отгрузка клиенту
2026-09-04;FISH-25;Шнур рыболовный 2.5мм;Приход;465;Производство (плетение)
2026-09-04;FISH-18;Шнур рыболовный (throwline) 1.8мм;Продажа;-477;Отгрузка клиенту
2026-09-04;FISH-18;Шнур рыболовный (throwline) 1.8мм;Приход;714;Производство (плетение)
2026-09-04;GLS-10;Шнур стеклянный 10мм;Продажа;-69;Отгрузка клиенту
2026-09-04;GLS-10;Шнур стеклянный 10мм;Приход;61;Производство (плетение)
2026-09-04;GLS-8;Шнур стеклянный 8мм;Продажа;-49;Отгрузка клиенту
2026-09-04;GLS-8;Шнур стеклянный 8мм;Приход;74;Производство (плетение)
2026-09-04;GLS-6;Шнур стеклянный 6мм;Продажа;-114;Отгрузка клиенту
2026-09-04;GLS-6;Шнур стеклянный 6мм;Приход;98;Производство (плетение)
2026-09-04;GLS-4;Шнур стеклянный 4мм;Приход;108;Производство (плетение)
2026-09-04;BAS-12;Шнур базальтовый 12мм;Продажа;-53;Отгрузка клиенту
2026-09-04;BAS-12;Шнур базальтовый 12мм;Приход;82;Производство (плетение)
2026-09-04;BAS-10;Шнур базальтовый 10мм (сердечник);Приход;94;Производство (плетение)
2026-09-04;BAS-8;Шнур базальтовый 8мм (сердечник);Продажа;-79;Отгрузка клиенту
2026-09-04;BAS-8;Шнур базальтовый 8мм (сердечник);Приход;130;Производство (плетение)
2026-09-04;BAS-6;Шнур базальтовый 6мм (до 500°C);Продажа;-72;Отгрузка клиенту
2026-09-04;BAS-6;Шнур базальтовый 6мм (до 500°C);Приход;153;Производство (плетение)
2026-09-04;SIL-18;Шнур кремнеземный 18мм;Продажа;-34;Отгрузка клиенту
2026-09-04;SIL-18;Шнур кремнеземный 18мм;Приход;34;Производство (плетение)
2026-09-04;SIL-16;Шнур кремнеземный 16мм;Продажа;-45;Отгрузка клиенту
2026-09-04;SIL-16;Шнур кремнеземный 16мм;Приход;52;Производство (плетение)
2026-09-04;SIL-14;Шнур кремнеземный 14мм;Продажа;-59;Отгрузка клиенту
2026-09-04;SIL-14;Шнур кремнеземный 14мм;Приход;67;Производство (плетение)
2026-09-04;SIL-12;Шнур кремнеземный 12мм;Приход;87;Производство (плетение)
2026-09-04;SIL-10;Шнур кремнеземный 10мм;Продажа;-63;Отгрузка клиенту
2026-09-04;SIL-10;Шнур кремнеземный 10мм;Приход;120;Производство (плетение)
2026-09-04;SIL-8;Шнур кремнеземный 8мм;Продажа;-109;Отгрузка клиенту
2026-09-04;SIL-8;Шнур кремнеземный 8мм;Приход;113;Производство (плетение)
2026-09-04;SIL-6;Шнур кремнеземный 6мм;Приход;127;Производство (плетение)
2026-09-04;SIL-4;Шнур кремнеземный 4мм;Продажа;-101;Отгрузка клиенту
2026-09-04;SIL-4;Шнур кремнеземный 4мм;Приход;161;Производство (плетение)
2026-09-04;PE-10;Канат полиэтиленовый 10мм;Продажа;-132;Отгрузка клиенту
2026-09-04;PE-10;Канат полиэтиленовый 10мм;Приход;171;Производство (плетение)
2026-09-04;PE-8;Канат полиэтиленовый 8мм;Продажа;-241;Отгрузка клиенту
2026-09-04;PE-8;Канат полиэтиленовый 8мм;Приход;271;Производство (плетение)
2026-09-04;PE-6;Канат полиэтиленовый 6мм;Продажа;-299;Отгрузка клиенту
2026-09-04;PE-6;Канат полиэтиленовый 6мм;Приход;348;Производство (плетение)
2026-09-04;PP-40;Канат ПП 40мм (48-прядный);Продажа;-23;Отгрузка клиенту
2026-09-04;PP-40;Канат ПП 40мм (48-прядный);Приход;24;Производство (плетение)
2026-09-04;PP-32;Канат ПП 32мм (48-прядный);Продажа;-33;Отгрузка клиенту
