Артикул;Наименование;Категория;Остаток;Ед.изм;ROP;Статус;Дней до истощения
LBL-TAG;Бирки с номером партии;Расходники;0;шт;2100;crit;0
BOB-K;Бобины картонные;Расходники;0;шт;900;crit;0
BOB-P;Бобины пластиковые;Расходники;0;шт;400;crit;0
SPOOL-L;Катушки большие (упаков. верёвки);Расходники;1440;шт;90;norm;96
PKG-BOX;Коробки картонные;Расходники;646;шт;240;norm;16
PKG-BAG;Пакеты ПЭ;Расходники;0;шт;1800;crit;0
TAPE-PK;Скотч упаковочный;Расходники;415;рул;200;norm;17
PKG-STR;Стрейч-плёнка;Расходники;1136;рул;120;norm;76
LBL-PR;Этикетки печатные;Расходники;0;шт;3150;crit;0
DYN-105;Верёвка динамическая 10.5мм;ГП;6982;м;300;norm;140
DYN-98;Верёвка динамическая 9.8мм;ГП;5269;м;360;norm;88
STAT-105;Верёвка статическая 10.5мм;ГП;7027;м;750;norm;47
STAT-10;Верёвка статическая 10мм;ГП;7573;м;1000;norm;38
STAT-11;Верёвка статическая 11мм;ГП;4659;м;600;norm;39
STAT-12;Верёвка статическая 12мм;ГП;5979;м;480;norm;75
STAT-9;Верёвка статическая 9мм (ПЭС оплётка);ГП;6272;м;600;norm;52
PACK-10;Верёвка упакованная 10мм (бухты);ГП;15436;м;1200;norm;39
HMPE-10;Канат HMPE 10мм;ГП;4865;м;480;norm;61
HMPE-12;Канат HMPE 12мм;ГП;4360;м;350;norm;87
HMPE-2;Канат HMPE 2мм;ГП;12848;м;2000;norm;32
HMPE-3;Канат HMPE 3мм;ГП;7591;м;1750;norm;22
HMPE-4;Канат HMPE 4мм;ГП;6917;м;1500;norm;23
HMPE-6;Канат HMPE 6мм;ГП;8695;м;1000;norm;43
HMPE-8;Канат HMPE 8мм;ГП;6467;м;720;norm;54
PP-10;Канат ПП 10мм (12-прядный);ГП;9877;м;1050;norm;28
PP-12;Канат ПП 12мм (16-прядный);ГП;10442;м;840;norm;37
PP-16;Канат ПП 16мм (24-прядный);ГП;7207;м;800;norm;36
PP-20;Канат ПП 20мм (32-прядный);ГП;3378;м;480;norm;28
PP-24;Канат ПП 24мм (48-прядный);ГП;4303;м;400;norm;54
PP-32;Канат ПП 32мм (48-прядный);ГП;6774;м;200;norm;169
PP-40;Канат ПП 40мм (48-прядный);ГП;4613;м;120;norm;231
PP-8;Канат ПП 8мм (8-прядный);ГП;9744;м;1200;norm;24
CARGO-16;Канат грузовой 16мм;ГП;6552;м;750;norm;44
CARGO-20;Канат грузовой 20мм;ГП;5693;м;500;norm;57
CARGO-24;Канат грузовой 24мм;ГП;6813;м;360;norm;114
CABLE-4;Канат для протяжки кабеля 4мм;ГП;8335;м;1000;norm;33
CABLE-6;Канат для протяжки кабеля 6мм;ГП;5888;м;720;norm;33
LS-10;Канат низкорастяжимый 10мм;ГП;7537;м;750;norm;50
LS-12;Канат низкорастяжимый 12мм;ГП;4855;м;600;norm;40
LS-14;Канат низкорастяжимый 14мм;ГП;4117;м;450;norm;46
LS-16;Канат низкорастяжимый 16мм;ГП;5917;м;420;norm;85
FENCE-10;Канат ограждающий 10мм;ГП;7706;м;720;norm;43
FENCE-6;Канат ограждающий 6мм;ГП;9346;м;900;norm;31
FENCE-8;Канат ограждающий 8мм;ГП;7120;м;750;norm;28
PA-10;Канат полиамидный 10мм;ГП;9371;м;1200;norm;31
PA-12;Канат полиамидный 12мм;ГП;8596;м;880;norm;39
PA-14;Канат полиамидный 14мм;ГП;5333;м;640;norm;33
PA-16;Канат полиамидный 16мм;ГП;7626;м;600;norm;64
PA-4;Канат полиамидный 4мм;ГП;11885;м;1500;norm;24
PA-6;Канат полиамидный 6мм;ГП;13545;м;1350;norm;30
PA-8;Канат полиамидный 8мм;ГП;9950;м;1140;norm;26
PE-10;Канат полиэтиленовый 10мм;ГП;7200;м;720;norm;40
PE-6;Канат полиэтиленовый 6мм;ГП;6829;м;900;norm;23
PE-8;Канат полиэтиленовый 8мм;ГП;8004;м;750;norm;32
YAHT-10;Канат яхтенный (фалы) 10мм;ГП;9379;м;750;norm;63
YAHT-6;Канат яхтенный (шкоты) 6мм;ГП;9364;м;1000;norm;37
YAHT-12;Канат яхтенный 12мм;ГП;5850;м;500;norm;59
YAHT-8;Канат яхтенный 8мм;ГП;7003;м;800;norm;35
LEER-5;Леер для лодок 5мм;ГП;9417;м;800;norm;47
LEER-6;Леер для лодок 6мм;ГП;6925;м;600;norm;46
LEER-8;Леер для лодок 8мм;ГП;5838;м;500;norm;58
REP-4;Репшнур 4мм (ПА);ГП;8700;м;1200;norm;29
REP-6;Репшнур 6мм (ПА);ГП;10320;м;1400;norm;29
REP-7;Репшнур 7мм (арамид);ГП;7535;м;750;norm;50
